,MER,AZE,CAR,AMP,PIP,CFP,CFX,TIC,CFZ,TMS,AZY,ERI,CLA,DOX,MIN,CIP,LEV,FOS,COL,AMI,GEN,TOB,IMI,RIF
MER,64,32,16,16,4,4,4,16,4,2,0,0,4,4,2,2,0,0,0,0,0,0,16,0
AZE,8,64,8,4,8,32,2,16,32,8,0,0,8,8,8,2,4,-2,-4,0,0,-2,0,0
CAR,16,32,32,8,4,4,2,16,4,8,0,0,8,16,8,4,8,0,-2,-2,0,-2,0,0
AMP,2,2,0,16,0,4,8,16,4,-2,0,0,0,2,2,-2,-2,0,-2,0,0,0,0,0
PIP,4,8,2,16,32,4,4,4,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
CFP,4,16,8,8,32,32,4,8,32,0,0,0,0,0,0,0,0,-2,0,0,0,0,2,0
CFX,0,16,2,16,16,16,16,16,32,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
TIC,0,8,4,8,32,32,4,8,32,0,0,0,0,0,0,0,0,-2,0,0,0,0,2,0
CFZ,2,32,4,16,128,16,4,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
TMS,0,-2,-2,0,-4,0,-2,0,0,16,2,0,-2,16,16,8,16,0,0,-2,-2,-2,0,0
AZY,-2,-2,-4,-4,0,0,0,-2,-2,8,8,16,8,16,4,16,8,0,-4,-2,-2,-2,-2,0
ERI,-2,-2,-2,-2,0,0,-2,-2,-2,2,4,16,8,4,4,4,4,0,-2,-2,-2,-2,-2,0
CLA,-2,-4,-4,-4,0,0,-2,-2,-2,2,8,32,32,16,8,8,4,0,-2,-2,-4,-2,-2,0
DOX,0,-4,-4,-4,0,0,0,0,0,2,8,4,4,16,16,32,16,0,-2,-2,-2,-2,-2,0
MIN,0,-4,-4,-4,0,0,0,0,0,2,8,4,4,16,16,32,16,-2,-2,-2,-2,-2,-2,0
CIP,-2,-4,-4,-4,-2,0,0,-2,-2,4,4,16,8,16,4,128,128,0,-2,-4,-2,-4,-2,0
LEV,-2,-4,-4,-2,-2,0,0,-2,-2,4,8,16,8,32,4,128,128,0,-2,-4,-4,-4,-2,0
FOS,-2,2,0,2,0,0,2,0,0,2,-2,0,0,2,0,0,0,128,0,0,0,0,0,0
COL,-2,-2,-4,-2,-4,-2,-2,-2,-2,0,-2,0,0,0,0,0,0,-2,2,4,16,4,0,0
AMI,0,0,-2,0,-2,0,0,0,0,2,0,0,0,2,0,0,0,2,-2,16,8,8,0,0
GEN,0,0,-2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,-2,64,32,16,0,0
TOB,0,-2,-2,0,0,0,0,0,0,2,-2,0,0,2,2,0,0,2,-2,64,32,32,0,0
IMI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
RIF,-2,2,0,2,0,0,2,2,2,8,-2,0,0,2,2,2,0,0,0,2,0,0,0,128
